Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066062,2018,01,01,29.8,1,Y
IDCJAC0010,066062,2018,01,02,27.0,1,Y
IDCJAC0010,066062,2018,01,03,25.1,1,Y
IDCJAC0010,066062,2018,01,04,24.0,1,Y
IDCJAC0010,066062,2018,01,05,26.1,1,Y
IDCJAC0010,066062,2018,01,06,29.8,1,Y
IDCJAC0010,066062,2018,01,07,43.4,1,Y
IDCJAC0010,066062,2018,01,08,31.9,1,Y
IDCJAC0010,066062,2018,01,09,30.2,1,Y
IDCJAC0010,066062,2018,01,10,24.9,1,Y
IDCJAC0010,066062,2018,01,11,24.0,1,Y
IDCJAC0010,066062,2018,01,12,27.2,1,Y
IDCJAC0010,066062,2018,01,13,34.3,1,Y
IDCJAC0010,066062,2018,01,14,24.5,1,Y
IDCJAC0010,066062,2018,01,15,26.5,1,Y
IDCJAC0010,066062,2018,01,16,23.5,1,Y
IDCJAC0010,066062,2018,01,17,25.8,1,Y
IDCJAC0010,066062,2018,01,18,26.2,1,Y
IDCJAC0010,066062,2018,01,19,28.3,1,Y
IDCJAC0010,066062,2018,01,20,30.4,1,Y
IDCJAC0010,066062,2018,01,21,27.3,1,Y
IDCJAC0010,066062,2018,01,22,29.6,1,Y
IDCJAC0010,066062,2018,01,23,26.8,1,Y
IDCJAC0010,066062,2018,01,24,28.0,1,Y
IDCJAC0010,066062,2018,01,25,27.1,1,Y
IDCJAC0010,066062,2018,01,26,27.4,1,Y
IDCJAC0010,066062,2018,01,27,27.9,1,Y
IDCJAC0010,066062,2018,01,28,27.0,1,Y
IDCJAC0010,066062,2018,01,29,28.6,1,Y
IDCJAC0010,066062,2018,01,30,28.7,1,Y
IDCJAC0010,066062,2018,01,31,22.0,1,Y
IDCJAC0010,066062,2018,02,01,24.6,1,Y
IDCJAC0010,066062,2018,02,02,24.4,1,Y
IDCJAC0010,066062,2018,02,03,26.0,1,Y
IDCJAC0010,066062,2018,02,04,26.1,1,Y
IDCJAC0010,066062,2018,02,05,25.9,1,Y
IDCJAC0010,066062,2018,02,06,27.0,1,Y
IDCJAC0010,066062,2018,02,07,27.2,1,Y
IDCJAC0010,066062,2018,02,08,28.6,1,Y
IDCJAC0010,066062,2018,02,09,30.4,1,Y
IDCJAC0010,066062,2018,02,10,28.2,1,Y
IDCJAC0010,066062,2018,02,11,29.6,1,Y
IDCJAC0010,066062,2018,02,12,27.6,1,Y
IDCJAC0010,066062,2018,02,13,28.4,1,Y
IDCJAC0010,066062,2018,02,14,34.5,1,Y
IDCJAC0010,066062,2018,02,15,27.0,1,Y
IDCJAC0010,066062,2018,02,16,30.7,1,Y
IDCJAC0010,066062,2018,02,17,26.9,1,Y
IDCJAC0010,066062,2018,02,18,28.2,1,Y
IDCJAC0010,066062,2018,02,19,29.5,1,Y
IDCJAC0010,066062,2018,02,20,23.6,1,Y
IDCJAC0010,066062,2018,02,21,25.0,1,Y
IDCJAC0010,066062,2018,02,22,26.5,1,Y
IDCJAC0010,066062,2018,02,23,26.8,1,Y
IDCJAC0010,066062,2018,02,24,31.0,1,Y
IDCJAC0010,066062,2018,02,25,22.1,1,Y
IDCJAC0010,066062,2018,02,26,23.6,1,Y
IDCJAC0010,066062,2018,02,27,26.1,1,Y
IDCJAC0010,066062,2018,02,28,26.6,1,Y
IDCJAC0010,066062,2018,03,01,26.3,1,Y
IDCJAC0010,066062,2018,03,02,26.5,1,Y
IDCJAC0010,066062,2018,03,03,27.3,1,Y
IDCJAC0010,066062,2018,03,04,24.9,1,Y
IDCJAC0010,066062,2018,03,05,25.7,1,Y
IDCJAC0010,066062,2018,03,06,25.4,1,Y
IDCJAC0010,066062,2018,03,07,24.9,1,Y
IDCJAC0010,066062,2018,03,08,26.9,1,Y
IDCJAC0010,066062,2018,03,09,26.7,1,Y
IDCJAC0010,066062,2018,03,10,26.5,1,Y
IDCJAC0010,066062,2018,03,11,27.2,1,Y
IDCJAC0010,066062,2018,03,12,27.0,1,Y
IDCJAC0010,066062,2018,03,13,21.1,1,Y
IDCJAC0010,066062,2018,03,14,25.6,1,Y
IDCJAC0010,066062,2018,03,15,29.7,1,Y
IDCJAC0010,066062,2018,03,16,26.2,1,Y
IDCJAC0010,066062,2018,03,17,31.9,1,Y
IDCJAC0010,066062,2018,03,18,38.4,1,Y
IDCJAC0010,066062,2018,03,19,28.4,1,Y
IDCJAC0010,066062,2018,03,20,27.6,1,Y
IDCJAC0010,066062,2018,03,21,22.2,1,Y
IDCJAC0010,066062,2018,03,22,23.3,1,Y
IDCJAC0010,066062,2018,03,23,24.8,1,Y
IDCJAC0010,066062,2018,03,24,25.6,1,Y
IDCJAC0010,066062,2018,03,25,32.4,1,Y
IDCJAC0010,066062,2018,03,26,26.4,1,Y
IDCJAC0010,066062,2018,03,27,24.7,1,Y
IDCJAC0010,066062,2018,03,28,26.8,1,Y
IDCJAC0010,066062,2018,03,29,27.0,1,Y
IDCJAC0010,066062,2018,03,30,29.3,1,Y
IDCJAC0010,066062,2018,03,31,25.6,1,Y
IDCJAC0010,066062,2018,04,01,27.1,1,Y
IDCJAC0010,066062,2018,04,02,30.4,1,Y
IDCJAC0010,066062,2018,04,03,26.7,1,Y
IDCJAC0010,066062,2018,04,04,26.5,1,Y
IDCJAC0010,066062,2018,04,05,26.5,1,Y
IDCJAC0010,066062,2018,04,06,26.9,1,Y
IDCJAC0010,066062,2018,04,07,26.6,1,Y
IDCJAC0010,066062,2018,04,08,26.2,1,Y
IDCJAC0010,066062,2018,04,09,35.4,1,Y
IDCJAC0010,066062,2018,04,10,24.0,1,Y
IDCJAC0010,066062,2018,04,11,26.5,1,Y
IDCJAC0010,066062,2018,04,12,34.6,1,Y
IDCJAC0010,066062,2018,04,13,32.6,1,Y
IDCJAC0010,066062,2018,04,14,30.5,1,Y
IDCJAC0010,066062,2018,04,15,24.5,1,Y
IDCJAC0010,066062,2018,04,16,29.9,1,Y
IDCJAC0010,066062,2018,04,17,22.9,1,Y
IDCJAC0010,066062,2018,04,18,22.2,1,Y
